Title,Authors,Publish Date,Summary,Category
Day 4 of the 2024 Democratic National Convention,"Aditi Sangal, Elise Hammond, Antoinette Radford, Tori B. Powell, Maureen Chowdhury, Cnn'S Eric Bradner, Arit John, Gregory Krieg, Cnn'S Kristen Holmes, Cnn'S Photo Team",08/22/2024,"Vice President Kamala Harris takes the stage at the Democratic National Convention in Chicago on August 22.
Allies back up Harris’ resume: Each night, speakers have highlighted her work fighting transnational gangs, sexual abusers and corporate bad actors.
On Thursday night, Harris’ two young grandnieces appeared onstage with actress Kerry Washington to send a message: It’s so easy that children can do it.
Harris’ niece, Meena Harris, appeared with Harris’ stepdaughter, Ella Emhoff and her goddaughter, Helena Hudlin.
Later, Maya Harris, the vice president’s sister, talked about their mother, who died in 2009.",health
Trump warms up for debate by threatening to jail election officials,Stephen Collinson,09/09/2024,"That makes Tuesday’s debate — the first since June’s consequential clash on CNN that eventually ended Biden’s campaign — the most critical scheduled event before Election Day.
Harris is holed up in Pittsburgh with staff to hone her skills for the test of facing Trump in a debate.
The vice president had pushed to overturn the restriction in the hope she could use her skills as a former prosecutor to dress down Trump in real time.
This presents possible room for growth for the vice president.
Trump is not staging mock debates — he’s just venting in publicTrump’s debate prep is the most unorthodox of any modern presidential candidate.",health
Harris prepares for the showdown she’s long sought with Trump as he takes more informal approach,"Eric Bradner, Jeff Zeleny, Alayna Treene, Arit John",09/08/2024,"Trump’s campaign and his allies have accused Harris of avoiding policy particulars.
“Vice President Harris, a former prosecutor, will be fundamentally disadvantaged by this format, which will serve to shield Donald Trump from direct exchanges with the Vice President.
Trump senior adviser Jason Miller has been handling the meetings, which have included sessions with former Trump administration official Stephen Miller, Trump campaign policy adviser Vincent Haley, and former Democratic Rep. Tulsi Gabbard, among others.
As with his June 27 debate with Biden, Trump’s advisers and allies have been encouraging him to appear more restrained while onstage.
She has been working with Trump to help him better understand Harris’ debate style.",health
Trump threatens prosecution of 2024 election officials who ‘cheated’ if he wins presidency,"Kate Sullivan, Jack Forrest",09/08/2024,"CNN —Former President Donald Trump on Saturday threatened prosecution and “long term prison sentences” for election officials and political operatives, who he suggested could cheat in the 2024 election, if he again wins the presidency in November.
It was a Disgrace to our Nation!”Despite Trump’s repeated claims, the 2020 election was highly secure, and he lost to Joe Biden by more than 7 million votes.
Election officials have been the victims of pervasive threats as the 2024 election draws closer, CNN has reported, and elections operations have beefed up security in the face of harassment of elections workers and disinformation about the voting process.
“Please beware that this legal exposure extends to Lawyers, Political Operatives, Donors, Illegal Voters, & Corrupt Election Officials.
Trump still faces his own charges over election interference stemming from efforts to subvert the 2020 election, including a four-count indictment in his federal case.",health
Video: Buttigieg says Harris will need ‘superhuman focus’ while debating Trump,Jackie Castillo,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
Trump has lost $4 billion in Truth Social wipeout,Matt Egan,09/09/2024,"Trump Media has lost about three-quarters (74%) of its value since peaking at $66.22 on March 27.
The wipeout reinforces concerns raised by experts who have repeatedly warned that Trump Media’s multi-billion-dollar price tag defies logic.
The company is losing money, generating very little revenue and Truth Social remains a relatively tiny player in social media.
In August, Trump Media launched Truth+, a TV streaming platform on iOS, Android and the Web versions of Truth Social.
It’s possible Trump Media’s stock market fortunes could turn, especially with the former president’s high-profile debate Tuesday with Harris.",health
New rules from GOP-majority election board could cause disarray in battleground Georgia,"Sara Murray, Jason Morris",09/09/2024,"“The state election board is a mess,” Raffensperger told reporters recently.
There’s no win for me to steal the election for anybody.”King insisted she does not believe the 2020 election was stolen.
The state election board in Georgia does not certify the results of any election.
The state election board also investigates election irregularities.
Janice Johnston, a retired obstetrician who has spread falsehoods about the 2020 election, joined the board in 2022.",health
Video: Trump slams own lawyer after court hearing,Kaitlan Collins,09/07/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
"Mother of mass shooting suspect called Apalachee High School with warning after getting alarming text, grandfather says","Isabel Rosales, Sara Smart, Dalia Faheid",09/07/2024,"CNN —The mother of the teenager suspected of killing four people during a shooting at a Winder, Georgia, high school called to warn a school counselor before the attack, according to the suspect’s aunt and grandfather.
The Barrow County School District did not return CNN’s request for comment.
Also on Saturday, in front of the high school, more than 100 motorcyclists from different motorcycle clubs staged a rally to show their support.
In the meantime, it’s unclear when classes will resume at Apalachee High School.
The rest of the Barrow County school system is expected to return to class Tuesday.",health
Panic buttons and push alerts: How technology helped prevent further bloodshed at Apalachee,"Chelsea Bailey, Lauren Mascarenhas, Isabel Rosales, Jaide Timm-Garcia",09/08/2024,"CNN —Apalachee High School teacher Stephen Kreyenbuhl knew something was wrong Wednesday before he heard gunshots.
Barrow County Sheriff Jud Smith told CNN Apalachee High School had the system for less than a week and had tested it for the first time only the day before the shooting.
Barrow County Sheriff Jud Smith demonstrates how the Apalachee High School's alert system works.
When reached by email Thursday, a spokesperson for Centegix told CNN the company is “saddened to hear of the events at Apalachee High School” but declined to comment further.
“This technology is something that helps to mitigate loss of life, and it did yesterday in Apalachee High School,” she said.",health
Video: Teen who came face-to-face with alleged Georgia school shooter speaks out,Isabel Rosales,09/06/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
"Charges for Colin Gray, the Georgia school shooting suspect’s father, push the boundaries of who’s responsible for a mass gun attack",Dalia Faheid,09/06/2024,"Colin Gray has not entered any plea; Colt Gray has not entered pleas to four felony murder charges, and more charges against him are expected.
In May 2023, law enforcement questioned Colt and his father about online threats “to commit a school shooting,” the FBI has said.
Colt at the time denied making the threats, and his father told authorities his son did not have unsupervised access to hunting guns in the house.
Colin Gray faces more severe chargesLike the Crumbleys, Gray faces four counts of involuntary manslaughter.
Whether the Georgia suspect’s father is found criminally responsible in the Apalachee High School shooting, parents must do more to keep firearms out of the hands of their kids, said McDonald, the Michigan prosecutor.",health
Dana Bash presses Sen. Tom Cotton on Georgia school shooting,"Kayla Gallagher, Dana Bash",09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
Officers on trial: Examining the fatal beating of Tyre Nichols,,N/A,"Officers on trial: Examining the fatal beating of Tyre Nichols`Video: OnCNN Special ReportOfficers on trial:Examining the fatal beating of Tyre NicholsCNN pieced together body camera and surveillance footage from the night Tyre Nichols was fatally beaten to uncover what actually happened.
By combining audio from another officer’s body camera with the surveillance footage we can see a more complete picture.
Body camera footage from the initial incident does not show Nichols attempting to hit the officers at any point.
In this video:Desmond Mills Jr.Tadarrius BeanJustin SmithVideo transcript:Video shown from the perspective of Officer Desmond Mills‘ body camera.
In this video:Tadarrius BeanDesmond Mills Jr.Justin SmithVideo transcript:Video shown from the perspective of Officer Desmond Mills’ body camera.",health
Could a $1.4M portrait found in a Maine attic be a long-lost Rembrandt?,Oscar Holland,09/08/2024,"The auction house believes this to be the highest sum ever paid for an artwork at a Maine auction.
Thomaston Place Auction GallerieLost from the recordsRembrandt scholar Gary Schwartz said a potential buyer had earlier sought his opinion on the Maine portrait.
03:09 - Source: CNNArt historian Volker Manuth, who authored publisher Taschen’s 2019 monograph “Rembrandt: The Complete Paintings,” told CNN he was also approached by a potential buyer of the Maine portrait.
But inclusion in a major catalog, or the backing of a big auction house, can increase a painting’s value manyfold.
Schwartz suggested that, should the Maine portrait receive similar endorsement, it might be revalued at up to $5 million.",health
Taylor Swift and Travis Kelce serve couple goals at the US Open final,Alli Rosenbloom,09/08/2024,"CNN —Taylor Swift and Travis Kelce are in their tennis era.
Swift and Kelce were among the famous faces shown on broadcast of the US Open men’s singles final on Sunday.
Matthew McConaughey at the US Open final in New York on Sunday.
(From left) Eddie Redmayne, Anna Wintour and Jon Bon Jovi at the US Open final on Sunday in New York.
Angela Weiss/AFP/Getty ImagesFritz is the first American man to advance to the US Open final since Andy Roddick in 2006.",health
‘Beetlejuice Beetlejuice’ box office: Tim Burton’s long-awaited sequel opens at a ‘stellar’ $110 million,Olesya Dmitracova,09/09/2024,"London CNN —“Beetlejuice Beetlejuice,” a follow-up to Tim Burton’s 1988 classic, has landed with a bang, raking in an estimated $110 million in US ticket sales over its opening weekend, based on Comscore data.
The “stellar domestic opening” is the second-highest ever for a movie in September, topped only by “It,” which earned $123 million in its first weekend in 2017, Boxoffice Pro said Sunday.
“The generation-spanning audiences for the new ‘Beetlejuice’ saw kids and adults dressing up for showings, turning it into an event,” said the official publication of the National Association of Theatre Owners.
“It is that rare sequel that felt like a continuation and not a remake of the original, while still giving audiences what they wanted.”Worldwide, “Beetlejuice Beetlejuice,” which stars Jenna Ortega, Winona Ryder and Michael Keaton, earned an estimated $145.4 million over the weekend, according to Comscore.
“Ortega sold this new film to the under-25s and is emerging as Tim Burton’s new muse à la Johnny Depp,” Boxoffice Pro said.",health
"She’s dated in 25 countries, these are her most romantic destinations",Alexandra Gilwit,09/07/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
"NFL Week 1 Sunday: Lions win OT thriller, Cowboys dominate Browns and Caleb Williams has debut victory",Ben Morse,09/09/2024,"CNN —Another Sunday of NFL Week 1 action, another mountain of storylines to pick through after wall-to-wall drama.
Dallas Cowboys quarterback Dak Prescott celebrates after a touchdown during the Cowboys' 33-17 victory over the Cleveland Browns in Cleveland on Sunday, September 8.
Ed Zurga/AP Kansas City Chiefs quarterback Patrick Mahomes scrambles during the game against the Baltimore Ravens in Kansas City, Missouri, on September 5.
Jay Biggerstaff/USA Today Sports/Reuters Fans enter Arrowhead Stadium in Kansas City, Missouri, ahead of the game between the Kansas City Chiefs and the Baltimore Ravens on September 5.
Caleb Williams gets debut victoryIt wasn’t pretty, but Caleb Williams’ life in the NFL is off to a winning start.",health
Why the taste of these donuts is important to the US army,Fj Feng,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
Video: CNN speaks with US Open winner,Ontaria Woods,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
"At least 14 killed, 43 injured in Israeli airstrikes, Syrian state news agency says",Hamdi Alkhshali,09/08/2024,"CNN —Israeli airstrikes in central Syria late Sunday have killed more than a dozen people and injured at least 40 others, state-run Syrian news agency SANA reported Monday.
SANA said there had been several explosions and “air defense engagements” in the central region of Syria, including in the Tartous and Hama governorates, that resulted in multiple civilian casualties.
A photo released by Syrian state news agency SANA on Sunday, September 8, shows the Wadi al-Uyun highway in Masyaf, where a fire reportedly caused by Israeli airstrikes has broken out.
SANA said the strikes had damaged the Wadi al-Uyun highway in Masyaf and caused a blaze that firefighters were working to control.
In June, an Israeli airstrike near Aleppo killed an Iranian military adviser, Iranian media reported at the time.",health
Kentucky I-75 shooting: Children told to stay home from school as suspect Joseph Couch evades capture for third day,Elizabeth Wolfe,09/09/2024,"Though his motive is still unknown, the attack appeared to be a “random act” of violence, Laurel County Sheriff’s Deputy Gilbert Acciardo said, according to The Associated Press.
Search efforts led by the Kentucky State Police were paused overnight and are set to resume after 8 a.m. Monday morning, Root said.
Just hours before the shooting, Couch legally purchased a firearm and about 1,000 rounds of ammunition, sheriff’s office officials said.
Joseph A. Couch, a suspect in the Saturday shooting, is shown in an undated photograph.
Laurel County Sheriff's Office/ReutersIt is also possible Couch has killed himself somewhere in the wilderness, Laurel County Sheriff’s Office Captain Richard Dalrymple said Sunday.",health
House Republicans and Democrats issue dueling documents casting blame for mistakes made in US withdrawal from Afghanistan,"Jennifer Hansler, Kylie Atwood",09/08/2024,"The Republican report is highly critical of the Biden administration and pins the blame for the chaotic exit exclusively on its decisions.
The report said that “Afghanistan once again became a haven for terrorists, including al Qaeda and ISIS-K” following the US withdrawal.
“Congress has a responsibility to ensure those at fault during the Afghanistan withdraw are finally held accountable,” the report says.
It could have been prevented if the State Department did its job by law and executed the plan of evacuation.
Both the State Department report and the Republicans’ report recommended putting a single point person in charge at the department when there is a complex crisis unfolding.",health
Haiku Stairs: 14 people arrested for illegal hiking in Hawaii,Lilit Marcus,09/09/2024,"CNN —Hawaii’s most controversial nature spot has once again become a center of concern, with 14 people recently arrested for accessing the Haiku Stairs on the island of Oahu according to officials.
Eight of the 14 were arrested on September 3, although it’s not clear if they were hiking together.
The Haiku Stairs, sometimes called the “stairway to heaven,” were closed to the public in 1987.
In 2021, the Honolulu City Council voted to remove the Haiku Stairs.
A local group called Friends of the Haiku Stairs is pushing back against the stairs’ removal, arguing that the $2.5 million process is too expensive.",health
Fareed: A strong economy won’t keep populism at bay,Ontaria Woods,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
White House finalizes rule aimed at expanding access to care for mental health and substance use disorder,"Carma Hassan, Jamie Gumbrecht",09/09/2024,"Under this rule, mental health and substance use disorder care on private insurance plans should be covered at the same level as physical health benefits.
“Mental health care is health care.
Today, my Administration is taking action to address our nation’s mental health crisis by ensuring mental health coverage will be covered at the same level as other health care for Americans.
Instead, people have still paid high costs for mental health care, often needing to go out of network and pay out of pocket.
“Health care, whether for physical or behavioral conditions, is health care.",health
‘We’re gonna be fine’: Harris embraces crying woman while campaigning,Cassandra Eldred,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
Video: Fetterman once said Biden dropping out of race would be a mistake. Hear what he thinks now,Jackie Castillo,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
Video: Tyreek Hill speaks out about being handcuffed by police,John Branch,09/08/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
Linda Sun: Why it may have taken so long for authorities to act on alleged Chinese agent in New York,Gloria Pazmino,09/08/2024,"Sun, a 41-year-old naturalized American citizen born in China, had been working for the State of New York for years at that point.
A month later, Sun and her husband were arrested and accused of working on behalf of the Chinese government.
In a 64-page indictment, federal prosecutors said Sun conspired and violated the Foreign Agents Registration Act, known as FARA, and accused her of money laundering, visa fraud and alien smuggling.
Hu was also charged with money laundering conspiracy and conspiracy to commit bank fraud as well as misusing means of identification, federal prosecutors said Tuesday.
Since 2023, other cases have involved individuals accused or convicted of working for the Chinese government, in addition to FARA enforcement specifically.",health
Hunt widens for suspect who allegedly threw scalding coffee on baby in Australia,Hilary Whiteman,09/09/2024,"Brisbane, Australia CNN —A man wanted for allegedly throwing scalding coffee on a baby in an unprovoked attack at a park in the northern Australian state of Queensland is now the subject of an international manhunt.
Closed circuit television video released by police shows the man running from the scene, wearing a blue plaid shirt, black hat and glasses.
This picture released by Queensland Police shows a man they claim poured hot coffee on a baby in a Brisbane park.
But that’s not always the case.”Police say the man fled Australia a few days after the attack.
I’m very confident that if you’re looking at that footage and you know that person in there, you’re going to know who it is,” Dalton told media on August 28.",health
The controversial plan to regreen a desert,Laura Paddison,09/08/2024,"The Dutch engineer wants to transform a huge stretch of inhospitable desert into green, fertile land teeming with wildlife.
“The only holistic way out of this situation is with large-scale ecological regeneration”So-called desert regreening projects are not new, and this is one of a number around the world seeking to transform arid landscapes.
Costfoto/NurPhoto/Getty ImagesFor van der Hoeven, it was further proof his plan could work.
“The scale reaches a level that helps prove that restoration can be done on a planetary scale.”It would add to other huge desert regreening projects also underway.
The project was scheduled to kick off this December, but conflict has slowed everything down, van der Hoeven said.",health
"26% of homeowners say they are financially unprepared for extreme weather events, new survey finds",Jeanne Sahadi,09/09/2024,"A quarter of US homeowners (26%) said they are financially unprepared for extreme weather events, according to Bankrate, which surveyed a nationally representative sampling of nearly 1,300 homeowners at the end of July.
Those most likely to say they were unprepared lived in the South (29%), the West (28%) and the Northeast (25%).
While the majority of homeowners surveyed did have insurance, they don’t necessarily know whether it is adequate to cover the kind of extreme weather their area now faces.
“Extreme weather has changed the insurance landscape, and understanding your home insurance policy coverage is more critical now than ever,” said Shannon Martin, a Bankrate analyst who specializes in insurance.
“Many insurance companies have reevaluated how they rate extreme weather, and some have changed the perils they are willing to cover.",health
The US is dismantling nuclear warheads to power next-gen reactors,Ella Nilsen,09/09/2024,"This fuel is set to power the next generation of America’s nuclear reactors — small, modular power stations that are easier and cheaper to build.
They require far less upkeep and physical space than the aging fleet of large nuclear power plants.
“In order to meet our energy security needs and our climate goals, we do need significantly more nuclear energy deployed.”The nuclear power industry is increasingly looking to smaller reactors, which run on HALEU.
The uranium for conventional reactors is enriched up to 5% and HALEU is uranium enriched between 5-20%.
Highly enriched uranium is anything more than 20% and is used in weapons or naval submarines.",health
Whoopi Goldberg slams Anna Sorokin joining ‘Dancing with the Stars’: ‘They gave her permission to do this’,Jackson Loo,09/07/2024,"How relevant is this ad to you?
Video player was slow to load content Video content never loaded Ad froze or did not finish loading Video content did not start after ad Audio on ad was too loud Other issues",health
Alex Morgan: US soccer legend waves goodbye after playing final minutes of remarkable career,Ben Church,09/09/2024,"CNN —US soccer star Alex Morgan waved an emotional goodbye to her professional career on Sunday, playing her final minutes in the San Diego Wave’s 4-1 loss to the North Carolina Courage.
An emotional Morgan then took off her cleats in the middle of the pitch, before walking off the field in tears.
Morgan signing autographs after her final career match.
Meg Oliphant/Getty ImagesShe then emerged back onto the field after the final whistle to address the thousands of fans who had stayed on.
Meg Oliphant/Getty ImagesMorgan announced her retirement last week with an emotional four-plus minute video on social media.",health
This is one of America’s hottest jobs right now,Bryan Mena,09/09/2024,"The health care industry is still the leading job creator, though law enforcement is also seeing some momentum.
A sizable chunk of those openings are in law enforcement.
She added that there’s also been a huge spike in job postings on ZipRecruiter listing “law enforcement” as a desired skill.
Pollak of ZipRecruiter said workers don’t usually pivot to law enforcement from a completely unrelated career.
But that could change if the job market keeps sliding.",health
Google’s search business was declared to be a monopoly. Now its ad business is on trial,Brian Fung,09/09/2024,"Specifically, the high-stakes legal battle focuses on the $31 billion portion of Google’s ad business that matches website publishers with advertisers and determines what banner ads appear on countless sites across the web.
Authorities have called for Google’s alleged ad-tech monopoly – which is distinct from Google’s search or search ads business – to be broken up.
Google competes against hundreds of companies that offer their own ad exchanges or ad tech tools, including Amazon, Meta, Microsoft and TikTok to name a few, according to its filings.
Advertisers can choose whether to use Google’s tools, or rival tools, or even divert ad spend away from websites and to other formats and platforms that don’t involve Google’s ad tech, such as on Instagram or Netflix.
Still, a breakup of Google’s ad tech business could potentially trigger a shakeup of the digital advertising industry and Google’s role within it.",health
DirecTV files FCC complaint against Disney amid blackout,Robert Ilich,09/08/2024,"CNN —DirecTV filed a complaint Saturday with the Federal Communications Commission alleging Disney did not negotiate in good faith as the two sides remain at an impasse on a distribution deal.
ESPN owns the broadcast rights to “Monday Night Football,” which will be blacked out for DirecTV subscribers unless a deal is reached.
“We continue to negotiate with DirecTV to restore access to our content as quickly as possible,” a Disney spokesperson told CNN on Sunday.
The opening game for “Monday Night Football” features the New York Jets and San Francisco 49ers.
The blackout also includes ESPN’s suite of channels and the Disney Channel, Disney Jr., FX and National Geographic.",health
8 barbecue mistakes pitmasters want you to stop making at home,Ni'Kesia Pannell,09/06/2024,"Did you make your uncle’s famous sauce the right way?
While we can’t help you avoid messing up that secret family recipe this year, there are other mistakes that we can help you steer clear of.
Here are eight barbecue mistakes pitmasters (and grilling experts) wish you’d stop making at home.
“Here’s the deal: if you’re looking, you’re not cooking!” said Figueroa.
Every barbecue session is an opportunity to learn and improve, so be patient and forgiving with yourself.",health
"Pasta recipes with tons of glowing, 5-star ratings",Food Network Kitchen,09/06/2024,"And, while we would gladly gobble up any dish of pasta you put in front of us, there are a few that are undeniable masterpieces—recipes that have amassed hundreds of 5-star ratings and positive reviews from fans.
Food NetworkGet the Recipe5-Ingredient Instant Pot Mac and CheeseThis creamy, kid-friendly mac and cheese is ready to go in no time.
Armando Rafael / Food NetworkGet the RecipeSteakhouse PastaMeaty grilled steak, salty blue cheese and spicy horseradish: this pasta dish has all the flavors of your favorite steakhouse dinner!
Matt Ball / Food NetworkGet the RecipeCajun Chicken AlfredoGuy elevates the classic chicken Alfredo with spicy blackened chicken and sweet, tart sun-dried tomatoes.
Kate Mathis / Food NetworkGet the Recipe",health
The best apple recipes for fall and beyond,Food Network Kitchen,08/15/2024,"With the right recipes, you’ll find that apples add just the right amount of sweetness to salads, sandwiches and chicken dinners, too.
No matter which of these recipes you choose, we’re sure that these dishes are destined to become the apple of your eye—starting with this fall dinner.
A duo of sliced apples and apple cider makes it the one-pot dish you’ll keep coming back to all season long.
Tara Donne / Food NetworkGet the RecipeThe Best Homemade ApplesauceAfter tasting the pure apple flavor of this homemade sauce, you just might never go back to the store-bought kind.
This easy recipe lets you cook up a warm, spiced apple treat right in the bowl of the machine.",health
Boeing Starliner capsule returns home from space — without astronauts on board,"Jackie Wattles, Ashley Strickland",09/06/2024,"Relive the Boeing Starliner capsule’s return home as it happened.
CNN —Boeing’s Starliner capsule returned from the International Space Station Friday evening — concluding its nearly three-month stay in space.
This screengrab taken from a video shows Boeing Starliner as it touches down in White Sands Space Harbor, New Mexico, at 12:01 a.m.
Boeing and NASA teams work around NASA's Boeing Crew Flight Test Starliner spacecraft after it landed uncrewed at White Sands, New Mexico, on September 7.
NASA astronauts Mike Fincke, left, and Scott Tingle look inside NASA's Boeing Crew Flight Test Starliner spacecraft after it landed uncrewed at White Sands Missile Range’s Space Harbor, in New Mexico, on September 7.",health
Pregnant shark monitored by scientists eaten by a larger predator,Ashley Strickland,09/06/2024,"Habitat loss, overfishingand their fate as bycatch in fishing nets have threatened porbeagle shark populations.
Northwest Atlantic porbeagle sharks are listed as vulnerable on the International Union for Conservation of Nature Red List of Threatened Species.
The team pieced together several factors that indicated the shark had been eaten and the tag excreted by a larger predator that gobbled up the shark, Anderson said.
Unusual suspectsPorbeagles belong to a family called lamnid sharks, which also includes great white sharks and mako sharks.
Gutteridge, who was not involved in the study, agrees that a white shark is the most likely culprit.",health
Ancient asteroid 20 times larger than the one that wiped out the dinosaurs likely hit Jupiter’s moon Ganymede,Ashley Strickland,09/05/2024,"CNN —Jupiter’s moon Ganymede may have shifted on its axis when a massive asteroid smashed into it about 4 billion years ago, according to a new study.
Ganymede, the largest moon in the solar system, is even bigger than Mercury and the dwarf planet Pluto.
The crater left behind on Ganymede was 25% the size of the Jupiter moon, according to the study.
Understanding how the impact altered the moon could reveal insights into its intriguing internal structure, Hirata said.
“I want to understand the origin and evolution of Ganymede and other Jupiter moons,” he said.",health
"‘Enthusiastic amateur’ finds ‘remarkable’ Pictish ring buried for more than 1,000 years",Radina Gigova,09/04/2024,"London CNN —A “remarkable” Pictish ring with “an intricate setting” was discovered in Scotland by an amateur archaeologist after being buried for more than 1,000 years.
“So when, on the last day of the final dig, he found something that looked interesting, he didn’t hold out much hope.
University of AberdeenThe Picts were an ancient people who lived in what is now eastern and northeastern Scotland.
The ring is undergoing analysis at the National Museum of Scotland’s Post-excavation Service, the university said.
Ralph, who grew up in Burghead, said he was thrilled to have helped understand the region’s Pictish past.",health
"Common food dye can make skin transparent in mice, study finds",Katie Hunt,09/05/2024,"“But when we put them together, we were able to achieve transparency of the mouse skin.”Once the dye had completely diffused into the skin, the skin became transparent.
In mice, the researchers were able to observe blood vessels directly in the surface of the brain through the transparent skin of the skull.
Guosong Hong/Stanford UniversityThe transparent areas take on an orangish color, Ou said, similar to that of the food dye.
5 dye, a common food coloring, was used at a low concentration in the study, and its effects were easily undone, according to the researchers.
“However, a partially transparent (mouse) will already enable numerous research opportunities to answer questions relating to development, regeneration, as well as aging.”",health
Pat Sajak wins Emmy for final season as host of ‘Wheel of Fortune’,Alli Rosenbloom,09/08/2024,"The last time Sajak was recognized by the Television Academy for his work as the host of “Wheel” was in 1998 when he won a Daytime Emmy.
He previously won Daytime Emmys in 1993 and 1997 and was honored with a Daytime Emmy Lifetime Achievement Award in 2011.
The outstanding host for a game show category was moved from the Daytime Emmys to the Primetime Emmys in 2023.
Sajak made his hosting debut on “Wheel” in 1981 and took his final spin in June.
Seacrest’s first episode as the new host of “Wheel” will air on Monday.",health
Don’t Tell Comedy is changing stand-up. Comics say that’s a good thing,Leah Asmelash,09/08/2024,"So when she got booked to do a show with Don’t Tell Comedy in Los Angeles, it was supposed to be her last.
“And Don’t Tell did that for me.”Don’t Tell Comedy is different from your average comedy show.
Sampson is just one of dozens of comics who has found success through Don’t Tell Comedy.
After meeting Kazanjian-Amory last year at the New York Comedy Festival, Don’t Tell Comedy produced and released her 10-minute special in June.
Okay.’”Now, Don’t Tell has become the go-to place to watch stand-up comedy, said comedian Jay Jurden, especially comics outside of the big names.",health
Anna Sorokin sports ankle monitor as convicted con seeks to lock up win on ‘Dancing With the Stars’,Lisa Respers France,09/05/2024,"CNN —Anna “Delvey” Sorokin is not shying away from her controversial past as she readies to compete on the new season of “Dancing with the Stars.”Sorokin was convicted in 2019 of grand larceny and other financial crimes after pretending to be a German heiress with a trust fund.
Sorokin has recently been living under house arrest in New York with an ankle monitoring device while she appeals her deportation order.
In a press release from the network to announce the Season 33 cast, Sorokin was listed as “Notorious ankle bracelet fashionista Anna Delvey.” She will partner with professional dancer Ezra Sosa for the season.
Her story continues to captivate the public’s imagination.”Sorokin’s press photo for the reality dance competition shows her wearing her court-ordered ankle bracelet.
Dancing with the Stars"" stars Anna Delvey.",health
Selena Gomez is a billionaire,Jordan Valinsky,09/06/2024,"New York CNN —Selena Gomez can now add becoming a billionaire to her long list of achievements.
The 32-year-old actress, singer, investor and entrepreneur just achieved the financial milestone thus making her one of the youngest self-made billionaires in the United States, according to Bloomberg, which values her net worth at $1.3 billion.
But her following has also helped her Rare Beauty line, putting her in the celebrity-led category of makeup brands dominated by Rihanna and the Kardashians.
Gomez also has reportedly reached out to investors for Rare Beauty, seeking a $2 billion valuation.
Gomez’s representative didn’t immediately respond to CNN’s request for comment.",health
‘Beetlejuice’ star Catherine O’Hara’s most unconventional mom performances,Dan Heching,09/06/2024,"CNN —You can call her a misunderstood artiste or a “stepmonster,” but any way you put it, Catherine O’Hara’s Delia Deetz in 1988’s “Beetlejuice” is a devilishly delicious pop culture mom in a class of her own.
Through the lens 2024, the character – who returns in this week’s sequel “Beetlejuice Beetlejuice” – is in many ways a hair-dye-and-formaldehyde-soaked antidote to the tradwife trend dominating social media.
That is, before the undead take her on a ride that has her household terrorized by a trickster demon named Beetlejuice.
But Delia isn’t the only out-there mom O’Hara has portrayed on the big or small screen.
Honorable mention: O’Hara’s hilarious role as formerly promiscuous dog mom Cookie Fleck in “Best In Show.”",health
"Southwest brings back buy-one, get-one-free Companion Pass promotion",Marnie Hunter,09/04/2024,"For a limited time, Southwest Airlines is offering a promotional Companion Pass, which would allow a passholder’s companion to fly with them nearly free on unlimited flights for two months early next year.
Through a flash promotion available through September 5, members of the airline’s Rapid Rewards program (you can sign up here) can register for a promotional Companion Pass.
The promotional pass earned will be valid for use between January 6, 2025, and March 6, 2025.
Typically, full-year passes are earned by flying 100 qualifying one-way flights or earning 135,000 qualifying points in a calendar year.
The pass earned through those means is good through the remainder of the calendar year in which it was earned and the full following year.",health
